date,rgdp_,rgdp
1-1-2009,"19886,1","22488,7"
4-1-2009,"21320,1","23543,8"
7-1-2009,"27139,6","29467,4"
10-1-2009,"27029,0","28556,5"
1-1-2010,"21185,6","23444,9"
4-1-2010,"23115,0","25714,8"
7-1-2010,"28814,1","31536,7"
10-1-2010,"30298,0","31468,8"
1-1-2011,"22760,9","25918,8"
4-1-2011,"27296,4","28591,0"
7-1-2011,"31268,8","32058,0"
10-1-2011,"31032,3","31548,3"
1-1-2012,"24771,8","26778,1"
4-1-2012,"26330,4","29349,5"
7-1-2012,"31990,5","32559,6"
10-1-2012,"30575,3","31386,7"
1-1-2013,"25575,0","27915,9"
4-1-2013,"27602,5","29220,0"
7-1-2013,"31301,8","32999,2"
10-1-2013,"30090,8","31128,1"
1-1-2014,"25756,4","28180,2"
4-1-2014,"27949,8","29587,3"
7-1-2014,"32065,2","33642,6"
10-1-2014,"30682,6","31983,9"
1-1-2015,"27518,9","27603,4"
4-1-2015,"27995,2","28301,4"
7-1-2015,"32148,1","32213,1"
10-1-2015,"30976,7","30550,8"
1-1-2016,"26515,1","26624,0"
4-1-2016,"27705,0","27917,5"
7-1-2016,"30614,6","31102,0"
10-1-2016,"30616,3","30016,3"
1-1-2017,"26480,5","26743,7"
4-1-2017,"28235,4","28434,9"
7-1-2017,"32111,0","32037,7"
10-1-2017,"31594,7","31381,8"
1-1-2018,"28137,8","28137,8"
4-1-2018,"29586,5","29586,5"
7-1-2018,"32726,7","32726,7"
10-1-2018,"31868,7","31868,7"
1-1-2019,"28527,2","28527,2"
4-1-2019,"29752,7","29752,7"
7-1-2019,"33255,2","33255,2"
10-1-2019,"32553,9","32553,9"
1-1-2020,"28570,0","28570,0"
4-1-2020,"28852,7","28852,7"
7-1-2020,"33290,5","33290,5"
10-1-2020,"32541,0","32541,0"
1-1-2021,"28991,0","28991,0"
4-1-2021,"30645,4","30645,4"
7-1-2021,"33675,8","33675,8"
10-1-2021,"32948,0","32948,0"
1-1-2022,"28952,3","28952,3"
4-1-2022,"28209,1","28209,1"
7-1-2022,"31890,5","31890,5"
10-1-2022,"31326,6","31326,6"
1-1-2023,"28416,4","28416,4"
4-1-2023,"29923,5","29923,5"
7-1-2023,"33873,7","33873,7"
10-1-2023,"32843,1","32843,1"
1-1-2024,"29651,8","29651,8"
4-1-2024,"433,8","31583,9"