Area,NumberOfRooms,Zip,price,latitude,longitude
63.0,3.0,1109,200000,52.3110148,5.0140928
103.0,4.0,1055,439000,52.3817073,4.8540225
100.0,6.0,1075,599000,52.3515641,4.856651
84.0,3.0,1091,340000,52.3565396,4.9143228
79.0,4.0,1076,435000,52.3440889,4.860684
57.0,3.0,1058,349000,52.3583805,4.8494046
140.0,6.0,1060,395000,40.8046725,-73.9634204
76.0,5.0,1017,675000,52.3641851,4.8907747
259.0,6.0,1011,2490000,52.3729762,4.9039565
57.0,2.0,1107,166500,52.2912462,4.9773243
31.0,1.0,1015,250000,52.3790928,4.885109
50.0,2.0,1072,325000,52.3522009,4.8903141
74.0,4.0,1057,475000,52.3670713,4.8531117
84.0,3.0,1093,400000,52.3612861,4.9284541
140.0,3.0,1016,900000,52.3711467,4.8837046
41.0,3.0,1051,240000,52.3797728,4.8686235
46.0,2.0,1031,320000,52.3903988,4.9020632
221.0,6.0,1016,2121500,52.3711467,4.8837046
275.0,6.0,1035,898000,52.4168952,4.9067666
155.0,4.0,1095,749000,52.359026,4.9611967
97.0,4.0,1016,650000,52.3711467,4.8837046
365.0,5.0,1075,5400000,52.3515641,4.856651
73.0,3.0,1098,285000,52.3511236,4.9482332
180.0,9.0,1077,1750000,52.3435465,4.8738549
100.0,4.0,1107,249500,52.2912462,4.9773243
123.0,5.0,1054,799000,52.3612327,4.8653587
100.0,4.0,1013,700000,52.396789,4.8766067
38.0,2.0,1067,195000,52.3765795,4.7834602
145.0,4.0,1014,909991,52.3923045,4.8558842
93.0,4.0,1098,575000,52.3511236,4.9482332
141.0,5.0,1060,375000,40.8046725,-73.9634204
88.0,3.0,1022,300000,40.8033203,-73.9639621
99.0,4.0,1033,300000,52.4095854,4.8868895
109.0,5.0,1086,399000,52.3617208,4.981714
50.0,2.0,1095,269000,52.359026,4.9611967
152.0,3.0,1017,1200000,52.3641851,4.8907747
176.0,4.0,1077,1560000,52.3435465,4.8738549
142.0,5.0,1064,389500,52.3724594,4.8192201
27.0,1.0,1094,175000,52.3636588,4.9355226
64.0,3.0,1052,399000,52.3768523,4.87475
102.0,2.0,1016,645000,52.3711467,4.8837046
69.0,3.0,1103,165000,52.3234207,4.9728948
65.0,3.0,1074,319500,52.351518,4.90679
128.0,4.0,1015,1000000,52.3790928,4.885109
35.0,1.0,1013,200000,52.396789,4.8766067
45.0,2.0,1072,265000,52.3522009,4.8903141
85.0,3.0,1069,275000,52.3576375,4.7901227
86.0,4.0,1056,449000,52.3732792,4.8544858
250.0,1.0,1098,Prijs op aanvraag,52.3511236,4.9482332
4.262,,1056,29500,52.3732792,4.8544858
110.0,5.0,1025,400000,52.3996222,4.9369594
117.0,5.0,1025,450000,52.3996222,4.9369594
124.0,4.0,1069,335000,52.3576375,4.7901227
43.0,1.0,1051,235000,52.3797728,4.8686235
100.0,3.0,1087,350000,52.3555895,5.0005613
54.0,2.0,1013,295000,52.396789,4.8766067
97.0,3.0,1098,375000,52.3511236,4.9482332
76.0,2.0,1083,325000,52.3297611,4.888615
105.0,4.0,1035,325000,52.4168952,4.9067666
207.0,9.0,1098,885000,52.3511236,4.9482332
78.0,3.0,1069,250000,52.3576375,4.7901227
140.0,6.0,1068,450000,52.3624004,4.8042058
87.0,3.0,1092,499000,52.358913,4.9213875
62.0,2.0,1102,175000,52.3135175,4.9547795
72.0,4.0,1098,425000,52.3511236,4.9482332
117.0,3.0,1014,970000,52.3923045,4.8558842
190.0,4.0,1096,1118806,52.3363412,4.9190299
60.0,3.0,1059,325000,52.3460212,4.8461017
80.0,3.0,1066,275000,52.3431932,4.817434
151.0,6.0,1081,585000,52.3337697,4.8522405
82.0,3.0,1087,295000,52.3555895,5.0005613
174.0,6.0,1083,1250000,52.3297611,4.888615
160.0,4.0,1104,430000,52.3164474,4.9802023
95.0,3.0,1019,539000,52.3728583,4.9388278
84.0,4.0,1025,349000,52.3996222,4.9369594
44.0,3.0,1011,325000,52.3729762,4.9039565
51.0,2.0,1057,275000,52.3670713,4.8531117
92.0,4.0,1095,450000,52.359026,4.9611967
75.0,3.0,1106,175000,52.3007124,4.9740506
120.0,7.0,1098,635000,52.3511236,4.9482332
50.0,2.0,1012,399000,52.3733862,4.8940639
33.0,3.0,1053,199000,52.3663937,4.8695863
121.0,8.0,1078,585000,52.3441217,4.8922031
63.0,2.0,1091,329000,52.3565396,4.9143228
124.0,5.0,1052,845000,52.3768523,4.87475
53.0,3.0,1053,299000,52.3663937,4.8695863
16.0,,1066,16000,52.3431932,4.817434
50.0,2.0,1053,350000,52.3663937,4.8695863
60.0,2.0,1079,375000,52.3421834,4.9067927
690.0,9.0,1017,5735000,52.3641851,4.8907747
120.0,5.0,1066,339500,52.3431932,4.817434
100.0,3.0,1102,290000,52.3135175,4.9547795
41.0,2.0,1076,285000,52.3440889,4.860684
93.0,4.0,1021,350000,52.3834657,4.9173131
105.0,5.0,1106,300000,52.3007124,4.9740506
136.0,6.0,1098,725000,52.3511236,4.9482332
97.0,5.0,1107,240000,52.2912462,4.9773243
78.0,3.0,1015,675000,52.3790928,4.885109
80.0,3.0,1034,225000,52.4076495,4.9172724
62.0,3.0,1069,175000,52.3576375,4.7901227
93.0,4.0,1069,215000,52.3576375,4.7901227
135.0,4.0,1035,299500,52.4168952,4.9067666
120.0,4.0,1061,399000,52.3730438,4.837568
86.0,4.0,1104,210000,52.3164474,4.9802023
81.0,3.0,1075,499000,52.3515641,4.856651
97.0,5.0,1021,400000,52.3834657,4.9173131
64.0,2.0,1025,211000,52.3996222,4.9369594
56.0,1.0,1051,290000,52.3797728,4.8686235
196.0,5.0,1013,1125000,52.396789,4.8766067
70.0,4.0,1079,385000,52.3421834,4.9067927
137.0,5.0,1075,1150000,52.3515641,4.856651
88.0,4.0,1097,450000,52.3449297,4.9319025
57.0,2.0,1079,369000,52.3421834,4.9067927
107.0,4.0,1014,585559,52.3923045,4.8558842
130.0,4.0,1082,439000,52.3314299,4.8766928
134.0,4.0,1066,439000,52.3431932,4.817434
47.0,3.0,1051,275000,52.3797728,4.8686235
83.0,2.0,1055,380000,52.3817073,4.8540225
160.0,4.0,1081,995000,52.3337697,4.8522405
52.0,2.0,1013,250000,52.396789,4.8766067
50.0,2.0,1022,250000,40.8033203,-73.9639621
233.0,5.0,1022,995000,40.8033203,-73.9639621
130.0,3.0,1013,675000,52.396789,4.8766067
81.0,3.0,1055,420000,52.3817073,4.8540225
38.0,2.0,1023,165000,52.3870802,4.9496855
95.0,4.0,1054,620000,52.3612327,4.8653587
159.0,5.0,1075,1350000,52.3515641,4.856651
39.0,2.0,1015,269000,52.3790928,4.885109
78.0,3.0,1057,439000,52.3670713,4.8531117
70.0,3.0,1059,425000,52.3460212,4.8461017
104.0,4.0,1018,437500,52.3683871,4.9180909
115.0,4.0,1033,300000,52.4095854,4.8868895
153.0,4.0,1087,595000,52.3555895,5.0005613
125.0,6.0,1063,375000,52.3815295,4.825779
68.0,3.0,1098,350000,52.3511236,4.9482332
70.0,4.0,1055,375000,52.3817073,4.8540225
149.0,6.0,1077,1200000,52.3435465,4.8738549
216.0,8.0,1018,1250000,52.3683871,4.9180909
80.0,4.0,1057,500000,52.3670713,4.8531117
109.0,5.0,1069,342500,52.3576375,4.7901227
98.0,5.0,1103,225000,52.3234207,4.9728948
93.0,4.0,1032,325000,52.395149,4.9162053
46.0,2.0,1055,212500,52.3817073,4.8540225
123.0,5.0,1102,325000,52.3135175,4.9547795
440.0,8.0,1075,6400000,52.3515641,4.856651
85.0,4.0,1071,695000,52.3559882,4.8778762
94.0,4.0,1078,665000,52.3441217,4.8922031
45.0,2.0,1092,220000,52.358913,4.9213875
162.0,5.0,1060,475000,40.8046725,-73.9634204
238.0,6.0,1017,2400000,52.3641851,4.8907747
38.0,2.0,1012,299000,52.3733862,4.8940639
93.0,4.0,1033,365000,52.4095854,4.8868895
55.0,2.0,1056,275000,52.3732792,4.8544858
48.0,2.0,1018,350000,52.3683871,4.9180909
85.0,4.0,1091,399245,52.3565396,4.9143228
84.0,3.0,1068,200000,52.3624004,4.8042058
104.0,5.0,1058,645000,52.3583805,4.8494046
48.0,2.0,1074,247000,52.351518,4.90679
156.0,6.0,1103,324177,52.3234207,4.9728948
71.0,3.0,1056,385000,52.3732792,4.8544858
87.0,3.0,1018,475000,52.3683871,4.9180909
44.0,2.0,1091,239000,52.3565396,4.9143228
156.0,7.0,1098,895000,52.3511236,4.9482332
63.0,2.0,1053,279000,52.3663937,4.8695863
30.0,1.0,1063,145000,52.3815295,4.825779
150.0,5.0,1087,659000,52.3555895,5.0005613
156.0,5.0,1067,500000,52.3765795,4.7834602
86.0,4.0,1073,489000,52.351928,4.896904
163.0,6.0,1087,689000,52.3555895,5.0005613
132.0,4.0,1058,725000,52.3583805,4.8494046
159.0,4.0,1065,745000,52.3560303,4.8296176
78.0,4.0,1083,285000,52.3297611,4.888615
166.0,5.0,1071,1350000,52.3559882,4.8778762
103.0,3.0,1072,515000,52.3522009,4.8903141
107.0,5.0,1072,725000,52.3522009,4.8903141
100.0,4.0,1028,450000,40.803583,-73.963863
18.0,,1034,29500,52.4076495,4.9172724
123.0,5.0,1060,379500,40.8046725,-73.9634204
80.0,1.0,1023,275000,52.3870802,4.9496855
73.0,3.0,1073,437500,52.351928,4.896904
52.0,3.0,1079,324500,52.3421834,4.9067927
79.0,4.0,1063,275000,52.3815295,4.825779
63.0,2.0,1034,175000,52.4076495,4.9172724
52.0,3.0,1023,250000,52.3870802,4.9496855
80.0,3.0,1028,495000,40.803583,-73.963863
180.0,6.0,1071,1650000,52.3559882,4.8778762
75.0,4.0,1013,699000,52.396789,4.8766067
92.0,4.0,1052,550000,52.3768523,4.87475
51.0,2.0,1094,299000,52.3636588,4.9355226
98.0,3.0,1021,299500,52.3834657,4.9173131
71.0,4.0,1079,299000,52.3421834,4.9067927
75.0,4.0,1061,390000,52.3730438,4.837568
152.0,8.0,1017,1100000,52.3641851,4.8907747
70.0,3.0,1091,350000,52.3565396,4.9143228
104.0,5.0,1102,239990,52.3135175,4.9547795
31.0,2.0,1053,215000,52.3663937,4.8695863
70.0,3.0,1019,350000,52.3728583,4.9388278
85.0,3.0,1056,550000,52.3732792,4.8544858
137.0,4.0,1087,445000,52.3555895,5.0005613
105.0,3.0,1019,500000,52.3728583,4.9388278
130.0,4.0,1026,575000,52.3812323,4.9935529
92.0,4.0,1031,375000,52.3903988,4.9020632
34.0,1.0,1018,215000,52.3683871,4.9180909
105.0,3.0,1075,699000,52.3515641,4.856651
196.0,6.0,1071,1875000,52.3559882,4.8778762
300.0,4.0,1082,2500000,52.3314299,4.8766928
94.0,2.0,1016,575000,52.3711467,4.8837046
33.0,1.0,1051,215000,52.3797728,4.8686235
96.0,3.0,1012,545000,52.3733862,4.8940639
31.0,1.0,1052,185000,52.3768523,4.87475
43.0,2.0,1091,249000,52.3565396,4.9143228
97.0,4.0,1019,535000,52.3728583,4.9388278
164.0,4.0,1098,1245000,52.3511236,4.9482332
78.0,3.0,1055,450000,52.3817073,4.8540225
101.0,5.0,1058,500000,52.3583805,4.8494046
91.0,3.0,1061,350000,52.3730438,4.837568
116.0,5.0,1052,600000,52.3768523,4.87475
17.0,,1069,27500,52.3576375,4.7901227
90.0,3.0,1066,329000,52.3431932,4.817434
350.0,0.0,1054,2400000,52.3612327,4.8653587
87.0,3.0,1016,500000,52.3711467,4.8837046
56.0,3.0,1094,325000,52.3636588,4.9355226
80.0,4.0,1058,400000,52.3583805,4.8494046
74.0,3.0,1034,225000,52.4076495,4.9172724
97.0,3.0,1074,600000,52.351518,4.90679
23.0,1.0,1073,200000,52.351928,4.896904
133.0,8.0,1035,375000,52.4168952,4.9067666
68.0,3.0,1018,380000,52.3683871,4.9180909
48.0,2.0,1076,275000,52.3440889,4.860684
135.0,4.0,1102,325000,52.3135175,4.9547795
73.0,2.0,1091,550000,52.3565396,4.9143228
68.0,3.0,1017,390000,52.3641851,4.8907747
156.0,6.0,1086,525000,52.3617208,4.981714
75.0,4.0,1058,425000,52.3583805,4.8494046
61.0,3.0,1069,175000,52.3576375,4.7901227
93.0,4.0,1013,425000,52.396789,4.8766067
53.0,3.0,1078,349500,52.3441217,4.8922031
147.0,3.0,1014,1255000,52.3923045,4.8558842
240.0,6.0,1096,1365094,52.3363412,4.9190299
101.0,4.0,1056,600000,52.3732792,4.8544858
81.0,3.0,1083,300000,52.3297611,4.888615
221.0,7.0,1096,1285609,52.3363412,4.9190299
147.0,6.0,1098,710000,52.3511236,4.9482332
381.0,5.0,1082,3800000,52.3314299,4.8766928
50.0,2.0,1079,300000,52.3421834,4.9067927
106.0,4.0,1082,525000,52.3314299,4.8766928
81.0,3.0,1079,499000,52.3421834,4.9067927
131.0,3.0,1058,775000,52.3583805,4.8494046
72.0,4.0,1019,275000,52.3728583,4.9388278
57.0,2.0,1055,275000,52.3817073,4.8540225
75.0,3.0,1034,195000,52.4076495,4.9172724
337.0,1.0,1069,1495000,52.3576375,4.7901227
62.0,3.0,1079,415000,52.3421834,4.9067927
61.0,3.0,1093,300000,52.3612861,4.9284541
80.0,5.0,1017,479000,52.3641851,4.8907747
69.0,3.0,1057,365000,52.3670713,4.8531117
388.0,5.0,1017,3249000,52.3641851,4.8907747
100.0,3.0,1019,650000,52.3728583,4.9388278
56.0,3.0,1059,275000,52.3460212,4.8461017
92.0,4.0,1059,525000,52.3460212,4.8461017
83.0,3.0,1015,575000,52.3790928,4.885109
84.0,4.0,1033,225000,52.4095854,4.8868895
84.0,5.0,1073,900000,52.351928,4.896904
319.0,1.0,1077,2000000,52.3435465,4.8738549
56.0,4.0,1059,295000,52.3460212,4.8461017
80.0,3.0,1051,399000,52.3797728,4.8686235
60.0,2.0,1015,325000,52.3790928,4.885109
92.0,3.0,1061,339000,52.3730438,4.837568
114.0,3.0,1057,625000,52.3670713,4.8531117
44.0,2.0,1012,285000,52.3733862,4.8940639
140.0,5.0,1067,455000,52.3765795,4.7834602
80.0,3.0,1082,325000,52.3314299,4.8766928
130.0,4.0,1087,435000,52.3555895,5.0005613
77.0,3.0,1068,264850,52.3624004,4.8042058
106.0,3.0,1082,975000,52.3314299,4.8766928
56.0,2.0,1073,350000,52.351928,4.896904
164.0,4.0,1015,1050000,52.3790928,4.885109
79.0,3.0,1016,845000,52.3711467,4.8837046
51.0,2.0,1057,310000,52.3670713,4.8531117
114.0,4.0,1098,575000,52.3511236,4.9482332
128.0,5.0,1016,849000,52.3711467,4.8837046
55.0,2.0,1057,325000,52.3670713,4.8531117
121.0,3.0,1051,575000,52.3797728,4.8686235
130.0,5.0,1076,625000,52.3440889,4.860684
77.0,2.0,1016,399000,52.3711467,4.8837046
101.0,3.0,1087,375000,52.3555895,5.0005613
104.0,5.0,1033,325000,52.4095854,4.8868895
70.0,3.0,1069,225000,52.3576375,4.7901227
156.0,5.0,1018,650000,52.3683871,4.9180909
108.0,4.0,1062,442076,52.3517216,4.8371533
156.0,4.0,1016,995000,52.3711467,4.8837046
37.0,1.0,1094,215000,52.3636588,4.9355226
51.0,2.0,1011,298000,52.3729762,4.9039565
255.0,4.0,1011,1000000,52.3729762,4.9039565
447.0,9.0,1016,3490000,52.3711467,4.8837046
92.0,4.0,1108,225000,52.3065615,4.9933607
42.0,4.0,1079,275000,52.3421834,4.9067927
85.0,3.0,1103,189500,52.3234207,4.9728948
55.0,2.0,1053,375000,52.3663937,4.8695863
55.0,4.0,1059,365000,52.3460212,4.8461017
53.0,2.0,1011,350000,52.3729762,4.9039565
118.0,5.0,1022,375000,40.8033203,-73.9639621
107.0,4.0,1076,585000,52.3440889,4.860684
37.0,1.0,1013,190000,52.396789,4.8766067
126.0,3.0,1019,550000,52.3728583,4.9388278
66.0,2.0,1019,275000,52.3728583,4.9388278
99.0,4.0,1013,649000,52.396789,4.8766067
60.0,3.0,1055,299000,52.3817073,4.8540225
105.0,4.0,1082,500000,52.3314299,4.8766928
103.0,2.0,1091,460000,52.3565396,4.9143228
32.0,1.0,1053,210000,52.3663937,4.8695863
85.0,2.0,1018,459000,52.3683871,4.9180909
123.0,5.0,1066,419000,52.3431932,4.817434
112.0,3.0,1017,800000,52.3641851,4.8907747
80.0,3.0,1056,545000,52.3732792,4.8544858
99.0,4.0,1067,350000,52.3765795,4.7834602
85.0,3.0,1102,189500,52.3135175,4.9547795
58.0,2.0,1053,289000,52.3663937,4.8695863
28.0,1.0,1018,200000,52.3683871,4.9180909
64.0,2.0,1095,280000,52.359026,4.9611967
133.0,6.0,1103,335000,52.3234207,4.9728948
86.0,4.0,1061,335000,52.3730438,4.837568
86.0,3.0,1067,235000,52.3765795,4.7834602
127.0,5.0,1081,587500,52.3337697,4.8522405
118.0,5.0,1034,400000,52.4076495,4.9172724
224.0,7.0,1077,1500000,52.3435465,4.8738549
53.0,2.0,1076,350000,52.3440889,4.860684
91.0,3.0,1087,325000,52.3555895,5.0005613
137.0,3.0,1012,715000,52.3733862,4.8940639
405.0,5.0,1071,3650000,52.3559882,4.8778762
140.0,7.0,1077,1100000,52.3435465,4.8738549
19.0,,1024,25000,52.3934948,4.9558257
105.0,5.0,1079,575000,52.3421834,4.9067927
17.0,1.0,1055,119000,52.3817073,4.8540225
64.0,3.0,1106,185000,52.3007124,4.9740506
199.0,6.0,1033,750000,52.4095854,4.8868895
66.0,2.0,1011,395000,52.3729762,4.9039565
51.0,3.0,1061,242500,52.3730438,4.837568
172.0,7.0,1075,1695000,52.3515641,4.856651
51.0,3.0,1061,275000,52.3730438,4.837568
55.0,2.0,1072,375000,52.3522009,4.8903141
74.0,3.0,1034,225000,52.4076495,4.9172724
138.0,3.0,1077,925000,52.3435465,4.8738549
99.0,3.0,1019,495000,52.3728583,4.9388278
146.0,4.0,1054,995000,52.3612327,4.8653587
121.0,5.0,1066,375000,52.3431932,4.817434
88.0,3.0,1019,375000,52.3728583,4.9388278
86.0,3.0,1015,535000,52.3790928,4.885109
58.0,3.0,1094,325000,52.3636588,4.9355226
298.0,5.0,1014,2470000,52.3923045,4.8558842
93.0,4.0,1076,545000,52.3440889,4.860684
80.0,4.0,1055,375000,52.3817073,4.8540225
81.0,3.0,1087,280000,52.3555895,5.0005613
98.0,4.0,1058,390000,52.3583805,4.8494046
100.0,4.0,1057,650000,52.3670713,4.8531117
74.0,4.0,1078,390000,52.3441217,4.8922031
47.0,2.0,1079,300000,52.3421834,4.9067927
40.0,2.0,1017,280000,52.3641851,4.8907747
152.0,5.0,1096,400000,52.3363412,4.9190299
74.0,3.0,1069,225000,52.3576375,4.7901227
494.0,3.0,1075,4850000,52.3515641,4.856651
71.0,3.0,1079,299000,52.3421834,4.9067927
43.0,2.0,1102,139500,52.3135175,4.9547795
60.0,3.0,1091,375000,52.3565396,4.9143228
79.0,3.0,1073,560000,52.351928,4.896904
86.0,3.0,1061,299000,52.3730438,4.837568
79.0,3.0,1053,470000,52.3663937,4.8695863
48.0,2.0,1073,300000,52.351928,4.896904
96.0,3.0,1076,415000,52.3440889,4.860684
58.0,3.0,1055,275000,52.3817073,4.8540225
174.0,6.0,1071,1565000,52.3559882,4.8778762
75.0,5.0,1067,224000,52.3765795,4.7834602
169.0,2.0,1012,1595000,52.3733862,4.8940639
62.0,3.0,1033,200000,52.4095854,4.8868895
263.0,6.0,1016,2600000,52.3711467,4.8837046
125.0,3.0,1082,675000,52.3314299,4.8766928
273.0,9.0,1015,2499000,52.3790928,4.885109
258.0,0.0,1071,2150000,52.3559882,4.8778762
136.0,6.0,1098,675000,52.3511236,4.9482332
76.0,3.0,1011,515000,52.3729762,4.9039565
95.0,5.0,1079,617500,52.3421834,4.9067927
112.0,3.0,1017,700000,52.3641851,4.8907747
132.0,4.0,1016,825000,52.3711467,4.8837046
65.0,3.0,1060,225000,40.8046725,-73.9634204
56.0,2.0,1055,245000,52.3817073,4.8540225
212.0,5.0,1071,2000000,52.3559882,4.8778762
132.0,4.0,1077,1250000,52.3435465,4.8738549
61.0,3.0,1059,350000,52.3460212,4.8461017
169.0,5.0,1086,700000,52.3617208,4.981714
90.0,4.0,1104,220000,52.3164474,4.9802023
255.0,9.0,1017,1650000,52.3641851,4.8907747
294.0,9.0,1075,2500000,52.3515641,4.856651
128.0,4.0,1075,1395000,52.3515641,4.856651
62.0,3.0,1054,398000,52.3612327,4.8653587
115.0,4.0,1098,440000,52.3511236,4.9482332
76.0,3.0,1033,225000,52.4095854,4.8868895
56.0,2.0,1097,315000,52.3449297,4.9319025
67.0,3.0,1013,375000,52.396789,4.8766067
101.0,3.0,1098,449000,52.3511236,4.9482332
77.0,3.0,1083,375000,52.3297611,4.888615
16.0,,1051,54500,52.3797728,4.8686235
388.0,5.0,1071,5800000,52.3559882,4.8778762
180.0,4.0,1094,1085000,52.3636588,4.9355226
130.0,5.0,1025,465000,52.3996222,4.9369594
93.0,4.0,1069,239000,52.3576375,4.7901227
76.0,3.0,1095,300000,52.359026,4.9611967
85.0,3.0,1019,400000,52.3728583,4.9388278
73.0,3.0,1056,365000,52.3732792,4.8544858
56.0,2.0,1093,300000,52.3612861,4.9284541
69.0,3.0,1108,179500,52.3065615,4.9933607
167.0,6.0,1071,1295000,52.3559882,4.8778762
70.0,3.0,1104,175000,52.3164474,4.9802023
114.0,4.0,1091,1025000,52.3565396,4.9143228
53.0,3.0,1054,299000,52.3612327,4.8653587
46.0,2.0,1098,225000,52.3511236,4.9482332
149.0,7.0,1024,475000,52.3934948,4.9558257
88.0,4.0,1057,475000,52.3670713,4.8531117
107.0,6.0,1103,310000,52.3234207,4.9728948
44.0,2.0,1033,170000,52.4095854,4.8868895
75.0,4.0,1069,180000,52.3576375,4.7901227
54.0,2.0,1071,315000,52.3559882,4.8778762
175.0,4.0,1073,850000,52.351928,4.896904
106.0,3.0,1013,700000,52.396789,4.8766067
33.0,2.0,1082,250000,52.3314299,4.8766928
113.0,4.0,1015,845000,52.3790928,4.885109
45.0,2.0,1017,319000,52.3641851,4.8907747
90.0,3.0,1072,489000,52.3522009,4.8903141
113.0,5.0,1109,395000,52.3110148,5.0140928
138.0,6.0,1024,450000,52.3934948,4.9558257
374.0,7.0,1028,1500000,40.803583,-73.963863
16.0,,1102,23000,52.3135175,4.9547795
59.0,2.0,1068,217500,52.3624004,4.8042058
31.0,1.0,1072,180000,52.3522009,4.8903141
155.0,5.0,1109,598500,52.3110148,5.0140928
97.0,3.0,1077,700000,52.3435465,4.8738549
56.0,2.0,1012,419000,52.3733862,4.8940639
78.0,4.0,1026,375000,52.3812323,4.9935529
140.0,6.0,1078,699000,52.3441217,4.8922031
80.0,3.0,1052,489000,52.3768523,4.87475
